review,Logistic Regression Imdb Large,Logistic Regression Nltk Movie Reviews Medium,Logistic Regression Rotten Tomatoes Small,Naive Bayes Imdb Large,Naive Bayes Nltk Movie Reviews Medium,Naive Bayes Rotten Tomatoes Small
This movie was absolutely fantastic! The acting and direction were top-notch.,Positive (0.79),Positive (0.73),Positive (0.57),Positive (0.77),Positive (0.74),Positive (0.63)
"I found the film boring and predictable, nothing surprised me.",Negative (0.99),Negative (0.84),Negative (0.82),Negative (0.76),Negative (0.74),Negative (0.76)
"Some parts were slow, but overall the story was heartwarming.",Positive (0.74),Positive (0.69),Positive (0.69),Positive (0.76),Positive (0.61),Positive (0.74)
A masterpiece — brilliant performances and a powerful ending.,Positive (1.00),Positive (0.94),Positive (0.94),Positive (0.88),Positive (0.84),Positive (0.89)
Terrible acting and a weak script ruined what could have been a good movie.,Negative (1.00),Negative (0.93),Negative (0.80),Negative (0.92),Negative (0.82),Negative (0.78)
"I enjoyed every scene, the soundtrack was perfect for the atmosphere.",Positive (0.99),Positive (0.80),Positive (0.54),Positive (0.82),Positive (0.72),Positive (0.57)
The plot made no sense and the characters felt one-dimensional.,Negative (0.91),Negative (0.71),Negative (0.67),Negative (0.73),Negative (0.62),Negative (0.56)
"It was okay, some funny moments but not memorable.",Positive (0.62),Positive (0.71),Positive (0.78),Positive (0.52),Positive (0.60),Positive (0.66)
"One of the best films I’ve seen in years, it kept me hooked from start to finish.",Positive (0.95),Positive (0.71),Positive (0.65),Positive (0.67),Positive (0.57),Negative (0.56)
The pacing was uneven and the movie felt unnecessarily long.,Negative (0.68),Negative (0.60),Negative (0.84),Negative (0.60),Negative (0.56),Negative (0.74)
"The visuals were stunning, but the story was disappointing.",Negative (0.69),Negative (0.51),Positive (0.62),Positive (0.55),Positive (0.58),Positive (0.63)
"A delightful watch — funny, emotional, and inspiring.",Positive (0.93),Positive (0.74),Positive (0.85),Positive (0.87),Positive (0.68),Positive (0.81)
Flat dialogue and overacting made it hard to enjoy.,Negative (0.77),Negative (0.77),Negative (0.87),Negative (0.76),Negative (0.74),Negative (0.82)
"The action scenes were thrilling, but the rest was dull.",Negative (0.91),Negative (0.79),Negative (0.88),Negative (0.63),Negative (0.64),Negative (0.78)
"I wouldn’t recommend this, it was a waste of my time.",Negative (0.98),Negative (0.86),Negative (0.79),Negative (0.83),Negative (0.75),Negative (0.82)
A strong story with characters you actually care about.,Positive (0.73),Positive (0.53),Negative (0.64),Positive (0.55),Positive (0.53),Negative (0.56)
The ending felt rushed and left too many loose ends.,Negative (0.64),Positive (0.76),Negative (0.71),Negative (0.61),Positive (0.65),Negative (0.68)
"Brilliant direction and cinematography, I’d watch it again.",Positive (0.87),Positive (0.72),Positive (0.53),Positive (0.64),Positive (0.66),Positive (0.54)
"Not terrible, but it didn’t live up to the hype.",Negative (0.99),Negative (0.84),Negative (0.57),Negative (0.83),Negative (0.72),Negative (0.63)
"This movie had heart, humor, and left me smiling.",Positive (0.73),Positive (0.51),Positive (0.58),Positive (0.70),Positive (0.53),Positive (0.53)
